title,score,month,year,ranking,revenue,runtime,vote_count
Beverly Hills Cop III,5.5,5,1994,953,119208989,104,434
Gremlins 2: The New Batch,6.2,6,1990,954,41482207,106,652
The Judge,7.2,10,2014,955,83719388,141,1417
The Peacemaker,5.8,9,1997,956,0,124,255
Resident Evil: Apocalypse,6.1,9,2004,957,129394835,94,1267
Bridget Jones: The Edge of Reason,6.1,11,2004,958,40203020,108,750
Out of Time,6.1,10,2003,959,55495563,105,298
On Deadly Ground,4.5,2,1994,960,49e6,102,104
The Adventures of Sharkboy and Lavagirl,4.4,6,2005,961,69425966,92,269
The Beach,6.3,2,2e3,962,144056873,119,1233
Raising Helen,5.9,5,2004,963,49718611,119,189
Ninja Assassin,6.2,9,2009,964,60462347,99,371
For Love of the Game,6.3,9,1999,965,0,137,88
Striptease,4.4,6,1996,966,113309743,115,205
Marmaduke,5,6,2010,967,83761844,87,149
Hereafter,5.8,10,2010,968,105197635,129,510
Murder by Numbers,6,4,2002,969,56714147,120,268
Assassins,6,10,1995,970,30303072,132,387
Hannibal Rising,6,2,2007,971,82169884,121,654
The Story of Us,5.9,10,1999,972,58900031,95,75
The Host,6,3,2013,973,63327201,125,1817
Basic,6.2,4,2003,974,42792561,98,286
Blood Work,6.1,8,2002,975,26199517,110,206
The International,6,2,2009,976,60161391,118,368
Escape from L.A.,5.6,8,1996,977,42277365,97,373
The Iron Giant,7.6,8,1999,978,23159305,86,1436
The Life Aquatic with Steve Zissou,7.1,12,2004,979,34808403,119,775
Free State of Jones,6.6,6,2016,980,25035950,139,428
The Life of David Gale,7.3,2,2003,981,38955598,130,480
Man of the House,5.4,2,2005,982,0,100,120
Run All Night,6.3,3,2015,983,71561644,114,1148
Eastern Promises,7.2,9,2007,984,55112356,100,848
Into the Blue,5.8,9,2005,985,44434439,110,458
The Messenger: The Story of Joan of Arc,6.2,10,1999,986,66976317,148,367
Your Highness,5.2,4,2011,987,26121638,102,501
Dream House,5.8,9,2011,988,38502340,84,391
Mad City,5.9,11,1997,989,10541523,114,81
Baby's Day Out,5.8,7,1994,990,16671505,99,274
The Scarlet Letter,5.5,10,1995,991,10382407,135,108
Fair Game,6.5,5,2010,992,24188922,108,235
Domino,6,9,2005,993,22944502,127,444
Jade,5.2,10,1995,994,9851610,95,44
Gamer,5.6,9,2009,995,40828540,95,760
Beautiful Creatures,5.6,2,2013,996,60052138,124,984
Death to Smoochy,5.9,3,2002,997,0,109,132
Zoolander 2,4.7,2,2016,998,55969e3,100,797
The Big Bounce,5,1,2004,999,6808550,88,76
What Planet Are You From?,5.4,3,2e3,1000,0,105,37
Drive Angry,5.3,2,2011,1001,28931401,105,600
Street Fighter: The Legend of Chun-Li,3.9,2,2009,1002,12764201,97,112
The One,5.7,11,2001,1003,727e5,87,437
The Adventures of Ford Fairlane,6.2,7,1990,1004,20423389,104,71
The Boat That Rocked,7.2,4,2009,1005,36348784,116,666
Traffic,6.9,12,2e3,1006,207515725,147,562
Indiana Jones and the Last Crusade,7.6,5,1989,1007,474171806,127,3152
Anna Karenina,6.5,9,2012,1008,68929150,130,639
Chappie,6.6,3,2015,1009,104399548,120,3062
The Bone Collector,6.5,11,1999,1010,151493655,118,826
Panic Room,6.5,3,2002,1011,196397415,111,1267
The Tooth Fairy,4.3,8,2006,1012,0,0,13
Three Kings,6.6,9,1999,1013,108e6,114,692
Child 44,6.1,3,2015,1014,3324330,137,547
Rat Race,6,7,2001,1015,85498534,112,518
K-PAX,7.1,10,2001,1016,50315140,120,695
Kate & Leopold,6,12,2001,1017,0,118,418
Bedazzled,5.6,10,2e3,1018,90383208,93,512
The Cotton Club,6.6,12,1984,1019,25928721,127,68
3:10 to Yuma,6.9,9,2007,1020,70016220,122,1188
Taken 3,6.1,12,2014,1021,325771424,109,2200
Out of Sight,6.5,6,1998,1022,77745568,123,333
The Cable Guy,5.7,6,1996,1023,102825796,96,594
Earth,6.6,9,1998,1024,528972,101,9
Dick Tracy,5.9,6,1990,1025,103738726,103,251
The Thomas Crown Affair,6.6,8,1999,1026,124305181,113,339
Riding in Cars with Boys,6.5,10,2001,1027,35743308,132,103
First Blood,7.2,10,1982,1028,125212904,93,1488
Solaris,7.7,3,1972,1029,0,167,357
Happily N'Ever After,4.6,9,2006,1030,38085778,75,104
Mary Reilly,5.7,2,1996,1031,12379402,104,74
My Best Friend's Wedding,6.3,6,1997,1032,299288605,105,584
America's Sweethearts,5.5,7,2001,1033,0,102,252
Insomnia,6.8,5,2002,1034,113714830,118,1148
Star Trek: First Contact,7,11,1996,1035,15e7,111,661
Jonah Hex,4.4,6,2010,1036,10539e3,80,420
Courage Under Fire,6.2,7,1996,1037,100860818,117,232
Liar Liar,6.4,3,1997,1038,181e6,86,1424
The Infiltrator,6.6,7,2016,1039,15436808,127,573
Inchon,6.5,5,1981,1040,52e5,140,2
The Flintstones,5,5,1994,1041,341631208,91,543
Taken 2,6.1,9,2012,1042,376141306,91,2757
Scary Movie 3,5.8,10,2003,1043,220673217,84,912
Miss Congeniality,6.1,12,2e3,1044,212e6,111,961
Journey to the Center of the Earth,5.8,7,2008,1045,101702060,93,1309
The Princess Diaries 2: Royal Engagement,6,8,2004,1046,95149435,113,697
The Pelican Brief,6.3,12,1993,1047,195268056,141,371
The Client,6.4,7,1994,1048,117615211,119,278
The Bucket List,7,12,2007,1049,175372502,97,1111
Patriot Games,6.3,6,1992,1050,178051587,117,433
Monster-in-Law,5.6,5,2005,1051,154749918,101,406
Prisoners,7.9,9,2013,1052,122126687,153,3085
Training Day,7.3,10,2001,1053,104876233,122,1634
Galaxy Quest,6.9,12,1999,1054,90683916,102,710
Scary Movie 2,5.4,7,2001,1055,141220678,83,982
The Muppets,6.5,11,2011,1056,165184237,103,501
Blade,6.5,8,1998,1057,131183530,120,1905
Coach Carter,7.3,1,2005,1058,76669806,136,496
Changing Lanes,5.9,4,2002,1059,94935764,89,299
Anaconda,4.7,4,1997,1060,136885767,89,610
Coyote Ugly,5.8,7,2e3,1061,113916474,100,575
Love Actually,7,9,2003,1062,244931766,135,1869
A Bug's Life,6.8,11,1998,1063,363258859,95,2303
From Hell,6.6,10,2001,1064,74558115,122,741
The Specialist,5.5,10,1994,1065,170362582,110,313
Tin Cup,5.9,8,1996,1066,53854588,135,150
"Yours, Mine and Ours",6.2,4,1968,1067,0,111,26
Kicking & Screaming,5.6,5,2005,1068,56070433,95,176
The Hitchhiker's Guide to the Galaxy,6.6,1,2005,1069,104478416,109,1315
Fat Albert,4.3,12,2004,1070,0,93,69
Resident Evil: Extinction,6.1,9,2007,1071,148412065,94,1292
Blended,6.6,5,2014,1072,123494610,117,1006
Last Holiday,6.4,1,2006,1073,38399961,112,119
The River Wild,6.1,9,1994,1074,0,111,210
The Indian in the Cupboard,5.9,7,1995,1075,0,96,134
Savages,6.2,7,2012,1076,82966152,131,766
Cellular,6.1,9,2004,1077,56422687,94,537
Johnny English,6,4,2003,1078,160583018,88,852
The Ant Bully,5.5,7,2006,1079,55181129,88,366
Dune,6.5,12,1984,1080,30925690,137,562
Across the Universe,7.1,9,2007,1081,0,133,410
Revolutionary Road,6.7,12,2008,1082,75225693,119,796
16 Blocks,6.2,3,2006,1083,65664721,105,661
Babylon A.D.,5.4,8,2008,1084,72108608,101,676
The Glimmer Man,4.7,10,1996,1085,0,92,100
Multiplicity,5.5,7,1996,1086,0,117,154
Aliens in the Attic,5.3,7,2009,1087,57881056,86,244
The Pledge,6.5,1,2001,1088,294e5,123,215
The Producers,6.1,12,2005,1089,38058335,134,151
The Phantom,4.7,6,1996,1090,17300889,100,136
All the Pretty Horses,5.8,12,2e3,1091,0,117,60
Nixon,7.1,12,1995,1092,13681765,192,71
The Ghost Writer,6.7,2,2010,1093,60222298,128,670
Deep Rising,6,1,1998,1094,11203026,106,154
Miracle at St. Anna,6.3,9,2008,1095,9323833,160,90
Curse of the Golden Flower,6.6,12,2006,1096,0,114,203
Bangkok Dangerous,5,8,2008,1097,42487390,99,332
Big Trouble,6.3,4,2002,1098,8493890,85,80
Love in the Time of Cholera,6.4,10,2007,1099,4607608,139,81
Shadow Conspiracy,4,1,1997,1100,2154540,103,11
Johnny English Reborn,6,9,2011,1101,160078586,101,1007
Foodfight!,2.3,6,2012,1102,73706,87,28
Argo,7.1,10,2012,1103,232324128,120,3423
The Fugitive,7.2,8,1993,1104,368875760,130,1220
The Bounty Hunter,5.5,3,2010,1105,136e6,110,858
Sleepers,7.3,10,1996,1106,165615285,147,715
Rambo: First Blood Part II,6.3,5,1985,1107,300400432,96,864
The Juror,5.5,2,1996,1108,0,118,89
Pinocchio,6.9,2,1940,1109,843e5,88,1355
Heaven's Gate,6.4,11,1980,1110,3484331,219,55
Underworld: Evolution,6.4,1,2006,1111,111340801,106,1528
Victor Frankenstein,5.6,11,2015,1112,34227298,109,685
Finding Forrester,7,12,2e3,1113,80049764,136,302
28 Days,6,4,2e3,1114,0,103,208
Unleashed,6.6,2,2005,1115,50871113,103,518
The Sweetest Thing,5.3,4,2002,1116,68696770,84,280
The Firm,6.6,6,1993,1117,270248367,154,501
Charlie St. Cloud,6.8,5,2010,1118,48190704,99,566
The Mechanic,6.3,1,2011,1119,51070807,93,1045
21 Jump Street,6.7,3,2012,1120,201585328,109,4074
Notting Hill,7,5,1999,1121,363889678,124,1262
Chicken Run,6.5,6,2e3,1122,224834564,84,1150
Along Came Polly,5.8,1,2004,1123,171963386,90,773
Boomerang,5.4,6,1992,1124,701e5,117,134
The Heat,6.5,6,2013,1125,158674180,117,1575
Cleopatra,6.7,6,1963,1126,71e6,248,146
Here Comes the Boom,6,10,2012,1127,73100172,105,593
High Crimes,6.1,4,2002,1128,63781810,115,184
The Mirror Has Two Faces,6.5,11,1996,1129,0,126,47
The Mothman Prophecies,6.1,1,2002,1130,55157539,119,305
Brüno,5.4,7,2009,1131,0,83,518
Licence to Kill,5.9,7,1989,1132,156167015,133,541
Red Riding Hood,5.6,3,2011,1133,89162162,100,922
15 Minutes,5.7,3,2001,1134,56359980,120,191
Super Mario Bros.,4,5,1993,1135,20915465,104,232
Lord of War,7,9,2005,1136,24127895,122,1335
Hero,7.2,12,2002,1137,177394432,99,635
One for the Money,5.3,1,2012,1138,36893721,91,388
The Interview,6.1,12,2014,1139,12342632,112,2304
The Warrior's Way,6.3,12,2010,1140,11087569,100,136
Micmacs,6.8,10,2009,1141,14e6,100,148
8 Mile,6.8,11,2002,1142,215e6,110,1626
Why I Did (Not) Eat My Father,5.3,4,2015,1143,0,100,125
A Knight's Tale,6.6,5,2001,1144,117487473,132,907
The Medallion,5.3,8,2003,1145,0,88,281
The Sixth Sense,7.7,8,1999,1146,672806292,107,3147
Man on a Ledge,6.2,1,2012,1147,46221189,102,925
The Big Year,5.6,10,2011,1148,7448385,100,248
The Karate Kid,6.9,6,1984,1149,90815558,126,891
American Hustle,6.8,12,2013,1150,251171807,138,2807
The Proposal,6.7,6,2009,1151,317375031,108,1804
Double Jeopardy,6.2,9,1999,1152,177841558,105,278
Back to the Future Part II,7.4,11,1989,1153,332e6,108,3829
Lucy,6.3,7,2014,1154,126546825,89,5878
Fifty Shades of Grey,5.2,2,2015,1155,571006128,125,3254
Spy Kids 3-D: Game Over,4.7,7,2003,1156,197011982,84,511
A Time to Kill,7,7,1996,1157,152266007,149,509
Cheaper by the Dozen,6,12,2003,1158,190212113,98,699
Lone Survivor,7.4,12,2013,1159,149295601,121,1526
A League of Their Own,6.7,7,1992,1160,107458785,128,354
The Conjuring 2,7,5,2016,1161,320170008,134,1949
The Social Network,7.1,9,2010,1162,224920315,120,3391
He's Just Not That Into You,6.2,2,2009,1163,177259441,129,959
Scary Movie 4,5.3,4,2006,1164,178262620,83,750
Scream 3,5.7,2,2e3,1165,161834276,116,736
Back to the Future Part III,7.1,5,1990,1166,244527583,118,2900
Get Hard,5.9,3,2015,1167,111811453,100,944
Dracula,7.1,11,1992,1168,215862692,128,1056
Julie & Julia,6.6,8,2009,1169,129540499,123,560
42,6.8,4,2013,1170,95020213,128,787
The Talented Mr. Ripley,7,12,1999,1171,128798265,139,767
Dumb and Dumber To,5.4,11,2014,1172,169837010,110,1127
Eight Below,6.7,2,2006,1173,120455994,120,542
The Intern,7.1,9,2015,1174,194564672,121,1881
Ride Along 2,6.1,1,2016,1175,124827316,102,555
The Last of the Mohicans,7.1,9,1992,1176,75505856,112,732
Ray,7.2,10,2004,1177,124731534,152,467
Sin City,7.2,4,2005,1178,158733820,124,2691
Vantage Point,6.2,2,2008,1179,151161491,90,716
"I Love You, Man",6.5,3,2009,1180,91636986,105,515
Shallow Hal,5.7,11,2001,1181,141069860,114,731
JFK,7.5,12,1991,1182,205405498,189,502
Big Momma's House 2,5.4,1,2006,1183,138259062,99,371
The Mexican,5.8,3,2001,1184,147845033,123,441
17 Again,6.1,3,2009,1185,136267476,102,1350
The Other Woman,6.2,4,2014,1186,196781193,109,1437
The Final Destination,5.4,8,2009,1187,186167139,82,831
Bridge of Spies,7.2,10,2015,1188,165478348,141,2583
Behind Enemy Lines,6,11,2001,1189,91753202,106,457
Get Him to the Greek,5.9,6,2010,1190,90029656,109,612
Shall We Dance?,5.9,10,2004,1191,170128460,107,297
Small Soldiers,6.2,7,1998,1192,54682547,110,511
Spawn,5,7,1997,1193,87840042,96,336
The Count of Monte Cristo,7.3,1,2002,1194,75395048,131,453
The Lincoln Lawyer,7,3,2011,1195,85412898,119,902
Unknown,6.5,2,2011,1196,130786397,113,1265
The Prestige,8,10,2006,1197,109676311,130,4391
Horrible Bosses 2,6.1,11,2014,1198,107670357,108,1536
Escape from Planet Earth,5.7,2,2013,1199,74597643,89,332
Apocalypto,7.3,12,2006,1200,120175290,139,1221
The Living Daylights,6.2,6,1987,1201,191185897,130,440
Predators,6,7,2010,1202,126248813,107,1206
Legal Eagles,5.8,6,1986,1203,0,116,51
Secret Window,6.4,3,2004,1204,92913171,96,972
The Lake House,6.5,6,2006,1205,114830111,99,670
The Skeleton Key,6.4,7,2005,1206,91974818,104,573
The Odd Life of Timothy Green,6.5,8,2012,1207,51854875,105,386
Made of Honor,6,5,2008,1208,84601681,101,394
Jersey Boys,6.8,6,2014,1209,67347013,134,255
The Rainmaker,6.7,11,1997,1210,45916769,135,235
Gothika,5.8,11,2003,1211,141591324,98,629
Amistad,6.8,12,1997,1212,74e6,155,316
Medicine Man,5.8,2,1992,1213,0,106,114
Aliens vs Predator: Requiem,4.9,12,2007,1214,41797066,94,740
Ri¢hie Ri¢h,5.4,12,1994,1215,0,95,415
Autumn in New York,5.7,8,2e3,1216,0,103,135
Music and Lyrics,6.2,2,2007,1217,145896422,96,554
Paul,6.5,2,2011,1218,97552050,104,1789
The Guilt Trip,5.4,12,2012,1219,41863726,95,284
Scream 4,6.1,4,2011,1220,97138686,111,902
8MM,6.1,2,1999,1221,96618699,123,474
The Doors,6.7,3,1991,1222,34416893,140,275
Sex Tape,5.3,7,2014,1223,126069509,97,1695
Hanging Up,5,2,2e3,1224,36037909,94,40
Final Destination 5,5.9,8,2011,1225,157887643,92,866
Mickey Blue Eyes,5.3,8,1999,1226,0,102,140
Pay It Forward,7,10,2e3,1227,55707411,122,432
Fever Pitch,5.9,4,2005,1228,50451307,103,182
Drillbit Taylor,5.5,3,2008,1229,0,102,275
A Million Ways to Die in the West,5.8,5,2014,1230,0,116,1468
The Shadow,5.4,7,1994,1231,48063435,108,138
Extremely Loud & Incredibly Close,6.9,12,2011,1232,55247881,129,708
Morning Glory,6.1,1,2010,1233,58785180,102,412
Get Rich or Die Tryin',6.3,11,2005,1234,46442528,117,186
The Art of War,5.6,8,2e3,1235,30199105,117,135
Rent,6.7,11,2005,1236,31670620,135,155
Bless the Child,4.9,8,2e3,1237,0,107,71
The Out-of-Towners,5,4,1999,1238,29e6,90,45
The Island of Dr. Moreau,4.6,8,1996,1239,49627779,96,147
The Musketeer,5.2,9,2001,1240,27053815,104,56
The Other Boleyn Girl,6.4,2,2008,1241,0,115,477
Sweet November,6.4,2,2001,1242,65754228,119,278
The Reaping,5.4,4,2007,1243,62771059,99,205
Mean Streets,7.2,10,1973,1244,3e6,110,345
Renaissance Man,5.9,6,1994,1245,24332324,128,81
Colombiana,6.5,7,2011,1246,60965854,108,824
Quest for Camelot,6.9,5,1998,1247,38172500,86,190
City By The Sea,5.7,9,2002,1248,22433915,108,92
At First Sight,5.9,1,1999,1249,0,128,48
Torque,4.7,1,2004,1250,46546197,84,119
City Hall,6,2,1996,1251,0,111,67
Showgirls,4.9,9,1995,1252,20350754,128,256
Marie Antoinette,6.5,5,2006,1253,60474340,123,642
Kiss of Death,5.7,4,1995,1254,0,101,81
Get Carter,4.8,10,2e3,1255,19412993,102,145
The Impossible,7,9,2012,1256,180274123,113,2025
Ishtar,4.2,5,1987,1257,14375181,107,28
Fantastic Mr. Fox,7.5,10,2009,1258,46471023,87,1176
Life or Something Like It,5.7,4,2002,1259,16872671,103,124
Memoirs of an Invisible Man,5.7,2,1992,1260,14358033,99,125
Amélie,7.8,4,2001,1261,173921954,122,3310
New York Minute,5.5,5,2004,1262,0,91,185
Alfie,5.6,10,2004,1263,13395939,103,248
Big Miracle,6.6,2,2012,1264,24719215,107,152
The Deep End of the Ocean,5.9,3,1999,1265,28121100,106,54
FearDotCom,3.2,8,2002,1266,18902015,101,105
Cirque du Freak: The Vampire's Assistant,5.5,10,2009,1267,28169671,109,348
Duplex,5.9,9,2003,1268,19322135,89,482
Soul Men,6.3,11,2008,1269,0,103,47
Raise the Titanic,5.2,1,1980,1270,0,115,21
Universal Soldier: The Return,4.2,8,1999,1271,10667893,82,135
Pandorum,6.5,9,2009,1272,20645327,108,774
Impostor,6.1,12,2001,1273,0,102,135
Extreme Ops,5,11,2002,1274,10959475,93,28
Just Visiting,4.8,4,2001,1275,0,88,171
Sunshine,7,4,2007,1276,32017803,107,1182
A Thousand Words,6,3,2012,1277,22044277,91,373
Delgo,5.4,12,2008,1278,0,94,15
The Gunman,5.5,2,2015,1279,13644292,115,392
Stormbreaker,5.1,7,2006,1280,23937870,93,213
Disturbia,6.6,4,2007,1281,117760134,105,1006
Hackers,6.2,9,1995,1282,7563728,107,398
The Hunting Party,6.6,9,2007,1283,0,101,96
The Hudsucker Proxy,7.1,3,1994,1284,0,111,275
The Warlords,6.3,12,2007,1285,0,126,83
Nomad: The Warrior,4.3,7,2005,1286,0,112,17
Snowpiercer,6.7,8,2013,1287,86758912,126,2854
A Monster in Paris,6.5,10,2011,1288,0,90,313
The Last Shot,5.9,9,2004,1289,0,90,15
The Crow,7.3,5,1994,1290,94e6,102,953
Baahubali: The Beginning,7.5,7,2015,1291,1e8,159,135
The Time Traveler's Wife,6.7,8,2009,1292,101229792,107,798
Because I Said So,5.8,2,2007,1293,69485490,102,191
Frankenweenie,6.6,10,2012,1294,35287788,87,932
Serenity,7.4,8,2005,1295,38869464,119,1264
Against the Ropes,4.5,2,2004,1296,6614280,106,32
Superman III,5.3,6,1983,1297,75850624,125,490
Grudge Match,6,12,2013,1298,44907260,113,433
Red Cliff,7.1,7,2008,1299,127814609,150,205
Sweet Home Alabama,6,9,2002,1300,180622424,108,394
The Ugly Truth,6.4,7,2009,1301,205298907,96,972
Sgt. Bilko,5.5,3,1996,1302,0,90,94
Spy Kids 2: The Island of Lost Dreams,5.3,8,2002,1303,119723358,100,521
Star Trek: Generations,6.4,11,1994,1304,12e7,118,452
The Grandmaster,6.3,1,2013,1305,64076736,130,273
Water for Elephants,6.7,3,2011,1306,114156230,120,850
Dragon Nest: Warriors' Dawn,6.8,5,2014,1307,0,88,19
The Hurricane,7.2,9,1999,1308,73956241,146,396
Enough,6.2,5,2002,1309,51801187,114,264
Heartbreakers,5.7,3,2001,1310,0,123,254
Paul Blart: Mall Cop 2,5,4,2015,1311,107597242,94,567
Angel Eyes,5.6,5,2001,1312,297e5,102,88
Joe Somebody,5.5,12,2001,1313,0,99,40
The Ninth Gate,6.3,8,1999,1314,58401898,133,756
Extreme Measures,5.7,9,1996,1315,17380126,118,80
Rock Star,6,9,2001,1316,16991902,105,190
Precious,6.9,11,2009,1317,47536959,110,417
White Squall,6.3,2,1996,1318,103e5,129,86
The Thing,7.8,6,1982,1319,19629760,109,1588
Riddick,6.2,9,2013,1320,98337295,119,2035
Switchback,5.8,10,1997,1321,6482195,118,52
Texas Rangers,5.4,11,2001,1322,0,110,19
City of Ember,6.2,10,2008,1323,17869048,90,605
The Master,7,9,2012,1324,28258060,137,701
Virgin Territory,4.3,12,2007,1325,5410749,93,75
The Express,7.1,10,2008,1326,9793496,130,71
The 5th Wave,5.6,1,2016,1327,109906372,112,1945
Creed,7.3,11,2015,1328,173567581,133,1915
The Town,7,9,2010,1329,154026136,125,1468
What to Expect When You're Expecting,5.8,5,2012,1330,797e5,110,594
Burn After Reading,6.5,9,2008,1331,163720069,96,1222
Nim's Island,5.6,4,2008,1332,100076342,96,330
Rush,7.7,9,2013,1333,90247624,123,2277
Magnolia,7.5,12,1999,1334,48451803,188,825
Cop Out,5.3,2,2010,1335,55583804,107,511
How to Be Single,5.9,1,2016,1336,112343513,110,1201
Dolphin Tale,6.7,9,2011,1337,95404397,113,163
Twilight,5.8,11,2008,1338,392616625,122,3561
John Q,7,2,2002,1339,102244770,116,594
Blue Streak,6.1,9,1999,1340,117758500,93,352
We're the Millers,6.8,8,2013,1341,269994119,110,2972
The Inhabited Island,5.3,12,2008,1342,21834845,115,23
Breakdown,6.6,5,1997,1343,50159144,95,198
Never Say Never Again,5.8,10,1983,1344,16e7,134,338
Hot Tub Time Machine,6,3,2010,1345,64572262,101,894
Dolphin Tale 2,6.7,9,2014,1346,52424533,107,96
Reindeer Games,5.4,2,2e3,1347,32168970,124,173
A Man Apart,5.8,4,2003,1348,44350926,109,258
Aloha,5.2,5,2015,1349,26250020,105,692
Ghosts of Mississippi,6.2,12,1996,1350,0,130,40
Snow Falling on Cedars,6.3,12,1999,1351,0,127,32
The Rite,5.8,1,2011,1352,96047633,114,556
Gattaca,7.5,9,1997,1353,12532777,106,1808
Isn't She Great,4.6,1,2e3,1354,3003296,95,14
Space Chimps,5.2,7,2008,1355,63800345,81,99
Head of State,5.3,1,2003,1356,0,95,71
The Hangover,7.2,6,2009,1357,459270619,100,6173
Ip Man 3,6.5,12,2015,1358,156844753,105,379
Austin Powers: The Spy Who Shagged Me,6.2,6,1999,1359,310940086,95,1011
Batman,7,6,1989,1360,411348924,126,2096
There Be Dragons,5.9,3,2011,1361,0,112,27
Lethal Weapon 3,6.4,5,1992,1362,321731527,118,811
The Blind Side,7.2,11,2009,1363,309208309,129,1597
Spy Kids,5.5,3,2001,1364,147934180,88,867
Horrible Bosses,6.5,7,2011,1365,117e6,98,2277
True Grit,7.2,12,2010,1366,252276927,110,1668
The Devil Wears Prada,7,6,2006,1367,326551094,109,3088
Star Trek: The Motion Picture,6.2,12,1979,1368,139e6,132,530
Identity Thief,5.6,2,2013,1369,173965010,111,1645
Cape Fear,7,11,1991,1370,1823e5,128,675
21,6.5,3,2008,1371,69823199,123,1375
Trainwreck,5.9,7,2015,1372,140795793,125,1181
Guess Who,5.5,3,2005,1373,68915888,105,225
The English Patient,7,11,1996,1374,231976425,162,542
L.A. Confidential,7.7,9,1997,1375,126216940,138,1310
Sky High,5.8,7,2005,1376,86369815,100,550
In & Out,6.3,9,1997,1377,0,90,177
Species,5.5,7,1995,1378,113374103,108,453
A Nightmare on Elm Street,7.2,11,1984,1379,25504513,91,1180
The Cell,6,8,2e3,1380,104155843,107,436
The Man in the Iron Mask,6.3,3,1998,1381,0,132,1018
Secretariat,6.8,8,2010,1382,60251371,123,103
TMNT,6,3,2007,1383,95608995,90,345
Radio,6.8,10,2003,1384,52277485,109,141
Friends with Benefits,6.5,7,2011,1385,150483765,109,2237
Neighbors 2: Sorority Rising,5.6,5,2016,1386,108758521,91,1462
Saving Mr. Banks,7.3,11,2013,1387,112544580,125,1226
Malcolm X,7.2,11,1992,1388,48169908,202,370
This Is 40,5.6,12,2012,1389,88058786,134,896
Old Dogs,5.2,11,2009,1390,92219310,88,210
Underworld: Rise of the Lycans,6.2,1,2009,1391,91353501,92,1428
License to Wed,5.2,7,2007,1392,69307224,91,253
The Benchwarmers,5.2,4,2006,1393,0,80,242
Must Love Dogs,5.8,7,2005,1394,58405313,98,140
Donnie Brasco,7.4,2,1997,1395,41954997,127,1147
Resident Evil,6.4,3,2002,1396,102984862,100,2065
Poltergeist,7,6,1982,1397,1222e5,114,794
The Ladykillers,6,3,2004,1398,0,104,415
Max Payne,5.2,10,2008,1399,85416905,100,613
In Time,6.7,10,2011,1400,173930596,109,3417
The Back-Up Plan,5.7,4,2010,1401,77477008,106,458
Something Borrowed,5.9,5,2011,1402,59901913,112,296
Black Knight,5.1,11,2001,1403,0,95,287
The Bad News Bears,6.9,4,1976,1404,35323292,102,97
Street Fighter,4.1,12,1994,1405,99423521,102,325
The Pianist,8,9,2002,1406,120072577,150,1864
The Nativity Story,6.4,12,2006,1407,0,101,35
House of Wax,5.5,4,2005,1408,68766121,113,677
Closer,6.7,12,2004,1409,115505027,104,811
J. Edgar,6,11,2011,1410,84606030,137,741
Mirrors,6,8,2008,1411,72436439,110,485
Queen of the Damned,5.4,2,2002,1412,45479110,101,239
Predator 2,5.9,11,1990,1413,57120318,108,730
Untraceable,5.9,1,2008,1414,32483410,101,238
Blast from the Past,6.3,2,1999,1415,40263020,112,245
Flash Gordon,6.1,9,1980,1416,27107960,111,233
Jersey Girl,5.8,3,2004,1417,36098382,102,325
Alex Cross,5.1,10,2012,1418,30353232,101,300
Midnight in the Garden of Good and Evil,6.3,11,1997,1419,25105255,155,157
Heist,5.6,11,2015,1420,41e5,93,318
Nanny McPhee and the Big Bang,6,3,2010,1421,93246388,109,436
Hoffa,6.1,12,1992,1422,0,140,81
The X Files: I Want to Believe,5.5,7,2008,1423,68369434,104,523
Ella Enchanted,5.9,4,2004,1424,27388767,96,437
Concussion,7,11,2015,1425,50363790,123,823
Abduction,5.6,9,2011,1426,82087155,106,961
Valiant,5.2,3,2005,1427,19478106,76,235
Wonder Boys,6.9,2,2e3,1428,0,111,161
Superhero Movie,4.9,3,2008,1429,25871834,85,379
Broken City,5.7,1,2013,1430,19701164,109,593
Cursed,5.1,2,2005,1431,19294901,97,167
Premium Rush,6.2,8,2012,1432,31083599,91,832
Hot Pursuit,5.4,5,2015,1433,51680201,87,647
The Four Feathers,6.5,9,2002,1434,29882645,132,159
Parker,5.7,1,2013,1435,46216641,118,1455
Wimbledon,6,9,2004,1436,41512007,98,293
Furry Vengeance,4.6,4,2010,1437,39340177,92,149
Bait,5.3,9,2012,1438,0,93,191
Krull,5.8,7,1983,1439,16519460,117,129
Lions for Lambs,6,10,2007,1440,63215872,92,216
Flight of the Intruder,5.7,1,1991,1441,0,115,31
Walk Hard: The Dewey Cox Story,6.6,12,2007,1442,18317151,96,212
The Shipping News,6.4,12,2001,1443,0,111,108
American Outlaws,5.7,8,2001,1444,13678913,94,55
The Young Victoria,7,3,2009,1445,27409889,105,322
Whiteout,5.3,9,2009,1446,12206028,101,220
The Tree of Life,6.5,5,2011,1447,54674226,139,987
Knock Off,4.7,9,1998,1448,0,91,64
Sabotage,5.5,3,2014,1449,17508518,110,555
The Order,4.8,9,2003,1450,11560806,102,91
Punisher: War Zone,5.6,12,2008,1451,10089373,102,294
Zoom,4.9,8,2006,1452,12506188,83,135
The Walk,6.9,9,2015,1453,61181942,123,1121
Warriors of Virtue,4.7,5,1997,1454,0,103,9
A Good Year,6.5,9,2006,1455,42064105,118,357
Radio Flyer,6.6,2,1992,1456,4651977,114,53
Bound by Honor,7.7,2,1993,1457,0,180,115
Smilla's Sense of Snow,6.6,2,1997,1458,0,121,60
Femme Fatale,6.2,11,2002,1459,16838910,114,142
